Nuts,Lat,Long,Level
AT315,47.79397483,13.67873906,3
AT321,47.15628303,13.6577249,3
AT322,47.30952143,12.84383536,3
AT323,47.7676472,13.20107683,3
AT331,47.4217682,10.58322548,3
AT332,47.21658056,11.34667218,3
AT333,46.89890583,12.5445059,3
AT334,47.06775744,10.63447884,3
AT335,47.33232589,12.03595742,3
AT341,47.2111787,9.92112057,3
AT342,47.41018776,9.76432492,3
BE100,50.83682417,4.35980542,3
BE211,51.30191689,4.50136965,3
BE212,51.05924131,4.4996961,3
BE213,51.2303918,4.97189346,3
BE221,50.99609982,5.31478442,3
BE222,51.17077915,5.53654921,3
BE223,50.82638874,5.50426668,3
BE231,50.86954061,3.96256548,3
BE232,51.03925827,4.02884468,3
BE233,51.23821478,3.60325988,3
BE234,51.03904013,3.67860828,3
BE235,50.83699207,3.66381848,3
BE236,51.20328446,4.1094653,3
BE241,50.75801246,4.26230006,3
BE242,50.90270145,4.81224432,3
BE251,51.21461818,3.21167182,3
BE252,51.02028892,2.87926041,3
BE253,50.84312776,2.85219601,3
BE254,50.82776885,3.29850037,3
BE255,51.17686545,2.93997882,3
BE256,50.94226028,3.12740062,3
BE257,50.9929581,3.30721901,3
BE258,50.94926637,2.70933408,3
BE310,50.64362316,4.56238171,3
BE321,50.44355598,3.73128846,3
BE322,50.46114066,4.40363057,3
BE323,50.46018624,3.86422578,3
BE324,50.73418061,2.93945534,3
BE325,50.59950435,4.00896991,3
BE326,50.21845454,4.26764088,3
BE327,50.64763267,3.47398188,3
BE331,50.47590459,5.37088623,3
BE332,50.61844202,5.58918599,3
BE334,50.67184601,5.20666513,3
BE335,50.54092925,5.94477309,3
BE336,50.37897097,6.18941108,3
BE341,49.67290644,5.79484228,3
BE342,49.8744607,5.74654722,3
BE343,50.24357628,5.47858121,3
BE344,49.93252079,5.32472233,3
BE345,49.51764856,5.46034068,3
BE351,49.92480599,5.10737858,3
BE352,50.3392629,4.91158554,3
BE353,50.14479625,4.55093859,3
BG311,43.79750707,22.7181517,3
BG312,43.48195365,23.19779526,3
BG313,43.39211123,23.79389362,3
BG314,43.45657062,24.6259784,3
BG315,42.97994079,24.50355811,3
BG321,43.16124823,25.64370788,3
BG322,42.93256237,25.26666242,3
BG323,43.63214623,25.95667244,3
BG324,43.6057754,26.58645856,3
BG325,43.94485633,27.00534371,3
BG331,43.1854862,27.56954088,3
BG332,43.6319612,27.90523813,3
BG333,43.31650421,27.00238219,3
BG334,43.02200875,26.27711022,3
BG341,42.06344249,27.20355809,3
BG342,42.63992439,26.23807456,3
BG343,42.31278051,26.63738112,3
BG344,42.48634899,25.59420021,3
BG411,42.68127356,23.38435751,3
BG412,42.2815518,23.51193296,3
BG413,41.74453716,23.47900942,3
BG414,42.60740683,22.85398123,3
BG415,42.05039958,22.90888787,3
BG421,42.30873401,24.83614382,3
BG422,41.50623442,25.79840562,3
BG423,42.16197909,24.1497761,3
BG424,41.65751113,24.66827862,3
BG425,41.51657024,25.49563597,3
CH011,46.67266085,6.64300292,3
CH012,46.20624736,7.63346097,3
CH013,46.22926721,6.13045718,3
CH021,46.78903339,7.66826019,3
CH022,46.68942647,7.08427742,3
CH023,47.33210171,7.68365902,3
CH024,46.98773647,6.76053681,3
CH025,47.36769642,7.1928709,3
CH031,47.56990659,7.62444825,3
CH032,47.39097585,7.66989508,3
CH033,47.41023607,8.08611648,3
CH040,47.42327612,8.6716712,3
CH051,47.00536949,9.05989114,3
CH052,47.72117498,8.57292596,3
CH053,47.38645652,9.41081985,3
CH054,47.30656793,9.40655763,3
